@RELATION sentiment_analysis

@ATTRIBUTE cleaned_review STRING
@ATTRIBUTE sentiment {negative,positive}

@DATA
'phone looked brand new worked flawlessly net10 didnt even need fiddle apn settings popped sim bam worked perfectly',positive
'constantly dropped calls reception phone reconnect constantly',negative
'nice thank',positive
'bought phone daughter picture quality good screen froze nothing tried unfreeze return phone',negative
'courteous merchant purchased amazon received product newthough box extra complementary stuff included seller also attached personal handwritten note wishing enjoyable time new phone touching respectful would given 7 star rating possible',positive
'phone states unlocked means work since sprint cant done therefore phone nothing big ipod useless let buys ware iphones purchased sprint cant transferred another service sucks never get away sprint hook line sunk stuck',negative
'switch lumia new logo nokia wait itwp great os even dare said way much better ios android friendly easy use also elegant modern presentation device comes version 78 like using new windows phone 8 worry updatesabout hardware amazing device range prices would find anything betteri using costa rica kolbi operator works like charm100 recomended',positive
'working perfect',positive
'excelent cellphone love',positive
'excellent product sold thanks',positive
'pleased fast shipment phone easy activate works perfectly would recommend phone anyone',positive
'phone greati understand though samsung chose support hebrew os language international softwarehad pay money samsung israel install hebrew supporting software',positive
'im really happy product',positive
'one worst products ever bought two months bought longer working frozen startup splash screen dont really recommend',negative
'wife needed new phone replace crappy cingular phone still plan rather paying 200 another crappy phone store wanted one actually saved 40 ebay phone received either knock cheaply manufactured piece garbage sent back bit bullet one wife loves hear person shes calling hear clearly dont like spending phones heavily subsidized case worth easy use put sim card charged battery',positive
'fui estafado',negative
'excellent would recommend',positive
'waste time',negative
'works perfectly operator country amazing design fast surfing internet good reception calls excellent operating system good camera good size storage love cellphone screen beautiful10 stars',positive
'good product',positive
'happy price point functionality blackberry pearl 9105 phone everything need like blackberry messaging texting phone calls surfing netpros1 small compact compared blackberry products2 battery lasts good two days standby full day moderate use 2 hours talktime3 screen small brightcons1 trackpad whatever termed difficult use even adjusting sensitivity inputs constantly scrolling applications whole exercise become frustrating reviews regular ball style roller blackberrys seems work whole lot better2 skype application yet unlike blackberry devices found native skype application phone3 suretype built autofill logic difficult us learn option turn though4 handset ear speaker bit low times sometimes difficult hear conversationoverall looking blackberry work applications would recommend phone looking compact phone blackberry functionality would recommend phone',positive
'product meets expectations check amazoncom page adjusted needs make gift good price',positive
'great',positive
'buenisimo',positive
'nice watch stopped accepting charge slot charger goes watch battery becoming loose less two weeks buying',negative
'excelent cell pone thing dont like ralted service provider europe overall excelent purchase',positive
'great',positive
'bought phone replacement alcatel fierce huge step phone dont need anything super fancy phone need im happy overall',positive
'didnt like many problem reset three times',negative
'love',positive
'item work perfectly described issue plug came package different region work us separate charger issue would recommend buy looking new phone',positive
'white s5 sprint didnt like touch sensitive buttons sprint sold got s5 active actual buttons didnt use fingerprint scanner s5 wasnt big deal straight talk bought seller techs inc',positive
'really like phone gave 4 stars break phone send receive mms photos determined keep phone everything like windows microsoft word pull keyboard dont need data plan use teacher heavy reader love reading phone taking notes word price love phone soooo happy everything like',positive
'solution want looking economic sophisticated price good choice product receiverecommend',positive
'turned n required activation lock',negative
'iphone 1010 dont problem works perfect charger original one got one week already broken really like take care abouth stuff service time great',positive
'ok',positive
'excelente',positive
'unlock',negative
'disappointed got letter cell phone sead phone ready get set use found longer usable discontinued mad',negative
'excellent',positive
'nice phone got phone crack screenbut um happy phone',positive
'bought nokia 6700 slide replace 6500 slide lcd gone blank phone nice upgrade slimmer modern still feels sturdy 6500 smart phone dont expect super features wifi would nice upgrade available overall someone looking average sturdy phone 50mp camera appreciate phone',positive
'phone work good',positive
'looks even greater pictures also feels easier smartphone class',positive
'excellent phone nothing envy brands pictures good front camera takes sharp pictures phone gorilla glass 4g unlocked excellent storage capacity screen hd love phone',positive
'purchased phone seller reason high ratings customer satisfaction completely thing place awful shipping estimated top phone faulty lable good condition said minor scratches deserve titlewhen opened box phone course minor scratches promised one outlets cover like would charge phone broken top back cover didnt close way meant battery falls timethat outside phone using phone first days found would freeze completely unusable way able use phone take battery power back minutes months found phone would completely shut closed wrong way annoying finally realize phone hours people trying get ahold methe charger came also promised extremely cheap stopped working weeksi avid phone user rarely take phone stays home 9590 time rarely use phone rough stays table think condition unacceptable payed around 74 dollars never ever would wasted money thisi idea company achieved positive feed back dissatisfied phone company sold phone phone glitchy ever since got',negative
'phone blazing fast really enjoy cant wait get lg 4',positive
'hard charge cant speak without speaker really hard use thought new phone battery really poor',negative
'nice phone easy grab like',positive
'nice extra',positive
'awesome deal personally like compact device compact class one best smartphone ever',positive
'received lg optimus l9 one day earlier expected easy set working great',positive
'thought going pleased product would recommend anyone needs quick fix phone',positive
'phone great screen protector uber 15 included amazon please contact',positive
'bought gift got play short performed great screen rich took nice pictures loved',positive
'ordered nokia lumia 1020 unlocked phone days ago surprise 3 days phone deadi put charger use disappointed since bought phone knowing good camera specifications since micro sd external lost pictures took really frustrated returning phone',negative
'ive purchased first iphone dealing temperamental droid year ive gone mac never go back',positive
'love phone every camera acts still good',positive
'bought father india working well first smartphone wanted android 4g price range unlocked european bands 3g bands supported india 4g bands used future phone worked flawlessly far since may 1st sure future thanks amazon',positive
'great phone great price',positive
'works fine true lte type 4g still getting used windows phone updated easily windows 10 mobile installing upgrade assistant smooth operating os',positive
'paid premium thought organization paid attention refurbishing plugged charge',negative
'phone wonderfulunfortunately would work area live ini could add straight talk phoneonly att',positive
'love phone much easier set samsung s5 everything need big screen helps lot hard time read iphone problem phone use google pin ying keyboard voice text app works wonders dictate english chinese time',positive
'excellent thank much',positive
'awesome iphone came charger apple headphones battery 60 charged phone looked brand new couldnt tell used amazing buy',positive
'love totally worth',positive
'ive phone week love best phone ever really cant say anything else isnt already written set phone using straight talk number verizon ported minutes never looking backthis screen big enough see use still size check book carry taking notes conference people asked woman work saw told yeah dragged video computerno ifriggin tunes bummed iphone told phone showed end feel bad wanting leave apple nowthere idevices tomtom devices nokia devices wish hadnt purchased nowif knew comingupdate 11192012 phone still greatbut case purchased used magnet hold clasp thought first ok cool found spen acted funny could draw straight line one side next line would go strange angles one side removed phone case hey straight lines across whole screen keep magnets away hope permanent damage phone done seems stupid design case phone awesome separate case sucks warning careful buying case made note ii',positive
'like',positive
'good product',positive
'wife loves matches phone haha',positive
'good',positive
'great quality wish volume easier change perfect',positive
'fine',positive
'poor experience indeed phone came operating instructions filled chinese operating language got straightened phone perform got constant message message attempt failed frustration tossed phone trash took financial loss phone touted new shipped united states obviously wasnt new shipped originally china suggest amazon discontinue product giving amazon bad image',negative
'excellent phone low price',positive
'bought samsung galaxy s5 mini amazoncom using att carrier usa received phone original samsung unopened box phone brand new observed phone associated carrier samsung factory made ukuae region working well att enjoying phone much handy size wise features galaxy s5 selleramazon ships ontime found price also reasonable took phone att showroom inserted new micro sim started working love phone beautiful phone working 4g lte speeds see h symbol carrier network att said h speed 4g lte recommend phone anyone supper seller super prompt delivery super phone advertised amazoncom',positive
'one side joint missing boltpinaxeldefective',negative
'awesome phone best dual sim ever samsung hesitate order phone launch countries excellent delivery received within week way came china default language chineas dual sim works great using tmobile indian vodafone vacation india issues phone battery really good play clash clan alot works till 40 hours upto 20 charging speed really good happy phone',positive
'works great schedule pictures using every day telephone worth',positive
'phone delivered time phone work tried multiple chargers wouldnt work',negative
'exactly wanted phone great condition problem sim card reported lost stolen go sprint store get new one',positive
'bought phone thinking good deal discover touchscreen shaky wasnt working properly literally press hard get icons respond rest worked fine still im disappointed',negative
'worst seller amazonhorrible experience useless costumer service amazon extremely disappointedphone use outside usabluetooth workcamera defectedvideo noiseand',negative
'device replace 2012 nexus 7 say confidence fine job much better form factor well 2012 nexus 7 tablet basically become unusable last year due bad software updates made laggy 3 yr daughter whines slow isa little disclaimer lot android devices years ive found low powered devices like studio 70 lte benefit greatly simply optimization device meager 1gb ram would close unbearable otherwise might also resolve instability issues ive read throughout comments ive none month use upon booting device let factory update complete full factory reset initial boot latest android software update rarely stability issues practice next either remove disable apps programs dont think ill using google search unsure bloatware another trick dont expect users know going developer settings changing two three animation settings 10x 05x makes things appear quicker interface levelreviewthe feel well first impressions everything suppose rather low expectations first keep mind 110 device little surprised much manageable size nexus 7 reasonably stylish dark blue doesnt feel heavy light hand still feels solid build little bit creaking gripped tightly suspect thats coming plastic back cover dont believe removable although screen lower resolution bright enough direct sunlight decently vivid colors contrary lot reviews speaker device plenty loud games media consumptionperformance wellit gets job done opening apps first time take little bit app supposed without much stutter otherwise 1gb ram dont expect device hold many apps background 3 gaming ive downloaded max pain mobile tombraider 1 pc port oddworld strangers wrath 3d games play without issue smooth fluid connected moga controller actually beat max pain 3 days time first aaa title fun yeah gaming likely thanks common qualcomm 410 chip itthe ugly device cheap know theres going corner cut obvious camera made tad bit usable clever app much basically potato remind 110 biggest gripe light bleed screen change dramatically individual units low light brightness anywhere near half youre going see light bleed apparent things like letterboxed mediawait phone right per title use device tablet anything media consumption browsing ebook reading said take sort obscene size phone wild days battery life outstanding even heavy use getting 5 hours screen time use gophone plan actually got better signal device ive used far impressive cant say much talking phone rarely use phone talking didnt need much testing awkward hold face im sure someone cranium size phone perfect fit im close quite',positive
'piece garbage waste money laggy son cards funny screen sensitivity awful buy tracfone happier',negative
'inexpensive great phone waiting buy',positive
'came package easy set battery seems burn quickly playing games quality calls crystal clear virgin mobile phones 10 years one better phones ive easy navigate functions happy purchase',positive
'everything arrived correctly thing battery discharged quickly',positive
'great phone 15 year old nieces first smart phone',positive
'good one',positive
'great definitely neat iphone apple isnt exactly cooperative products spent millions developing speaker isnt loud corded headset awkward earbuds hard use phone calls work put watch ear hear clearly one point bluetooth range short approximately 10 feet works great phone via bluetooth music talk bluetooth speakers also sync phone got micro sd card put music plays file manager hooked bluetooth speaker skips sound quality poor bad want return makes worst mp3 player ive ever considering wired headphones uncomfortable havent tried pair newer toyota yet bought see smart watch something would like 50 cheap enough considering im going spending nice watch helping figure want ive already seen lot better watches amazon w cameras paid 38 watch much price went since bought paired played music better would happier',negative
'needed backup phone perfect needs',positive
'like phoe small convenient yet touch screen like phones ease use',positive
'phone tested three existing operators venezuela movistar digitel movilnet works 3g service works 2g cell slow internet browsing',negative
'good money',positive
'awesome phone price consumer reviews werent terribly kind theyre comparing 610 flagship models im glad got phone customer service outstanding',positive
'meet expectations',negative
'like works well handsfree audible enough',positive
'great seller thank u iphone described',positive
'scam phone barred network 1 week due unpaid payments tmobile payment plan returned immediately amazon im disappointed',negative
'disappointing love phone first day nice upgrade vs galaxy s2 big software issue even worse upgraded lollipop factory reset back kitkat bit better still perfect ended keeping old phone played g2 bit disappointment overall software hardware issuesnot great combo lg better sure screen amazing watch movies pictures browse battery life pretty solid though vendor dealt issues swiftly though appreciated itpros gorgeous screen get hands 4k hd source looks incredible hd movies look also fantastic one standout feature phone great camera good battery life well smartphone still waiting smartphone last 3 4 days straightcons big software issues viber whatsapp facebook app connects internet working wifi calling often unavailable phone received comes unlocked tmobile phone tmobile app cannot uninstall big deal theory seems like tmobile settings get way wifi calling software issue general phoneandroid runs smoothly phones freezes apps shut keyboard doesnt pops want type things started galaxy s2 3 years use right box screen responsiveness issues every keyboard doesnt work type nothing appears screen sister screen responsiveness issue lg g2 bottom homebackswitch buttons ended working rest screen ok maybe specific pb lg phones pb screen software sure powerbutton dont like power button back phone much easier side bit awkward power onoff especially phone large body sound buttons',negative
'excellent',positive
'great phone absolutely happy purchase',positive
'great phone expected',positive
'disappointed pay nexus 5 white sent black one feel cheated',negative
'backup phone tiny comically tiny like one half tiny flip phones use around works project fi dataonly sim hangouts integration voice sms awesome going phone tiny hardly noticeable keyboard functional small cumbersome times youre probably going want send many long emails texts minimalist phone extreme everything works expected thats postit note phone picture',positive
'minor scratches back good',positive
'still getting know phone',positive
'camara flash deficiente',positive
'thanks',positive
'great phone clear call sound',positive
'durable interface slow going iphone htc galaxy s5 broken screens one worth',positive
'great phoneeven without removable battery expandable storagei bought 920i model europe works bands form main carriers except 4g band 20 longer used operator didnt mindthe phone comes without bloatware greatwatch 920i international less targeted philippinesmalaysiaindonesiavietnam etc less part asiabecause language support phone regional found englishukusthe phone comes 3 pin pluguk style based country might need adapter iteverything else expected',positive
'phone every bit good galaxy note 3 lasts longer batttery life survived far abuse broke galaxy would frequently recommend phone everyone',positive
'work great',positive
'l v e',positive
'oh really wanted love form factor good take device anywhere really wanted make daily driver problem lags much comparing 2 devices pricerange irulu v3 huawei t1 fall short gotta say huawei usable one software intuitive operation works better size geometry way much take everywhere irulu ready primetime build quality less pay software daily problem eg phone complete call refreshes try attempt call close app try againwhat phone makes hard make calls 1 star irulu still three devices wish didnt mistakesyour gain',negative
'great watch ditto newvery fast reliable',positive
'great condition problems',positive
'excellent',positive
'great product got italian version doesnt seem different good battery life',positive
'cool windows phone windows 10 mobile beta thats make phone feel perfect',positive
'blu pure xl smartphone 4g lte gsm unlocked 64gb 3gb ram goldi must say satisfied product battery life stated pretty much last entire day screen clear bright highly responsive wasnt big fan app drawer available gotten use actually dont miss internal space much could ask mention 3gigs ram power disposal camera super clear may best compared put challenge even low lighting also dedicated shutter button convenient placed think hang phone blu plans make upgrade one super pleased',positive
'know android ios many choices switched nexus android phone windows phone 8 couldnt happier combination great hardware awesome os amazing nokia apps makes phone unbeatable',positive
'love phone pleasure ordering amazon really like size 6 clarity videos screen great would recommend phone anyone looking upgrade',positive
'got mom first smart phone didnt want expensive smart phone price tag around 125 perfect loves functionality s3',positive
'one att get work tried multiple stores foreign accent strong one understand',negative
'great everithing ok todo en ordenno hubo ningún problema',positive
'exelente',positive
'picked use teen isnt ready smartphone exactly says box simple basic phone makes calls slows teens texthappy hands dont often appreciate came qwerty input texting package readily used tmobiles 3month pay go plan hard go wrong need something basic make call emergency last forever',positive
'good product fast elegant works perfectly venezuela operators',positive
'good',positive
'good product',positive
'although blaze old standards quite pleased performance price right find ballistic hard cover case specifically made hard find indeed',positive
'good novelty item good phone watch',negative
'good product',positive
'could give product 0 stars would daughter 1 month completely stopped working wifi data calls texts thought may sim card error took verizon store new sim installed nothing still wouldnt even connect wifi verizon store said likely fatal software error suggested return exchange looked cutoff return two weeks ago im screwed guess apparently get pay',negative
'great cell phone price reasonable since unlocked simple set service carrier love look phone blue good size fit pocket purse etc',positive
'great phone',positive
'nice phone money easy use takes good pics would buy',positive
'awesome',positive
'excellent product',positive
'seems good far two major issuesone speed charger packed usa model even though bought us warranty phonetwo audio significant hiss phone call people end say sound excellent pretty distractingill update review issues resolved',negative
'nice',positive
'item described works perfectly far inconvenience gift father far happy',positive
'everyting went great',positive
'broke week heavy original',negative
'excelente',positive
'good phone test period good',positive
'mom loved',positive
'good quality works well',positive
'expected',positive
'advertised refurbished phone used refurbished refurbished almost always new shell definitely fully tested rigorous testing new products however phone scratched microphone working 100 others muffled',negative
'disappointed phone extremely slow literally press letter wait like 5 seconds letter appears screenimagine long takes type sentence five wordssmh display horriblewhen turn phone graphics appear look greatnice clear crispbut icons load look fuzzyfar looking clear crisp phone much internal storagedownload updates cant even download small game phone deeply regret buying phone used two weeks packed away',negative
'excelente',positive
'great phone great service',positive
'long time palm pilot user moving smartphone chose wanted unlocked phone could use net10 provider lock contractat point phone works fine im pleased purchase however plug play process made one mistake description product didnt make clear size sim card need model need larger sized sim card think called mini card carrier smaller sized card micro card additional storage optional mistake cost 15 significant tragedyin case provider also didnt seem know get phone use data services needed internet connections apps without using wifi read gsm networks saw 2g technology remembered option settings use 2g connections tried option could browse internetthe gps capability navigation app nice works well enough car especially slip case prevents phone slipping around leg car seatit seemed little rocky first think anybody tech savvy patience get phone set youre technically inclined id recommend either going locked phone traditional carrier finding somebody help',positive
'broke two days',negative
'excelent device',positive
'everything great',positive
'first iphone cant compare earlier models love simple smooth performance many apps great camera unlocked version use country long change nano sim card worth price',positive
'responsable excelente vendedora muy responsable desde venezuela',positive
'one word excellent good service',positive
'great phone definitely recommend others',positive
'mother loves new phone',positive
'outstanding phone sleek lightweight full features pro lightening fast charging ability phone con like apple phone charger proprietary cannot use standard android chargers charge means buy specific nexus adapter car travel etc experience issue previous google phones',positive
'excellent nice people contact',positive
